,keywords,number_of_times_word_appeared,tf,idf,tf_idf
177,java,135,0.005455868089233754,-4.90527477843843,-0.0267625321326054
83,int,104,0.004203039120594891,-4.6443908991413725,-0.01952055664042607
28,com,67,0.0027077271257678628,-4.204692619390966,-0.011385160261040845
137,data,62,0.002505657937277724,-4.127134385045092,-0.010341187030100051
242,applet,57,0.002303588748787585,-4.04305126783455,-0.009313527411355051
819,obj,56,0.0022631749110895573,-4.02535169073515,-0.009110074954783722
851,hi,56,0.0022631749110895573,-4.02535169073515,-0.009110074954783722
806,object,53,0.0021419333979954738,-3.970291913552122,-0.008504100849428648
33,new,52,0.0021015195602974456,-3.951243718581427,-0.008303615962101284
29,basic,50,0.0020206918849013903,-3.912023005428146,-0.007904993140616202
425,basics,49,0.0019802780472033626,-3.891820298110627,-0.007706886300008921
466,button,48,0.0019398642095053346,-3.871201010907891,-0.007509604288861088
639,code,44,0.0017782088587132234,-3.784189633918261,-0.006729079530084202
112,class,43,0.0017377950210151955,-3.7612001156935624,-0.00653619483409405
460,id,41,0.00165696734561914,-3.713572066704308,-0.006153267650132421
818,method,39,0.0015761396702230843,-3.6635616461296463,-0.005774284844772721
691,array,34,0.0013740704817329454,-3.5263605246161616,-0.004845467904823372
512,string,32,0.0012932428063368898,-3.4657359027997265,-0.004482038024959232
25,use,32,0.0012932428063368898,-3.4657359027997265,-0.004482038024959232
728,iv,30,0.0012124151309408342,-3.4011973816621555,-0.004123663168843545
651,call,27,0.0010911736178467507,-3.295836866004329,-0.0035963302369106404
472,type,26,0.0010507597801487228,-3.258096538021482,-0.0034234768019947674
455,objects,26,0.0010507597801487228,-3.258096538021482,-0.0034234768019947674
522,serve,25,0.0010103459424506951,-3.2188758248682006,-0.0032521781289082206
23,public,24,0.0009699321047526673,-3.1780538303479458,-0.003082496440686659
816,point,24,0.0009699321047526673,-3.1780538303479458,-0.003082496440686659
237,right,24,0.0009699321047526673,-3.1780538303479458,-0.003082496440686659
343,reserve,24,0.0009699321047526673,-3.1780538303479458,-0.003082496440686659
496,reserved,23,0.0009295182670546395,-3.1354942159291497,-0.0029144991499503088
692,program,23,0.0009295182670546395,-3.1354942159291497,-0.0029144991499503088
488,rights,23,0.0009295182670546395,-3.1354942159291497,-0.0029144991499503088
273,jguru,23,0.0009295182670546395,-3.1354942159291497,-0.0029144991499503088
26,example,22,0.0008891044293566117,-3.0910424533583156,-0.002748259536610206
592,refer,22,0.0008891044293566117,-3.0910424533583156,-0.002748259536610206
668,init,22,0.0008891044293566117,-3.0910424533583156,-0.002748259536610206
605,comment,20,0.0008082767539605561,-2.995732273553991,-0.0024213807578030966
71,one,19,0.0007678629162625283,-2.9444389791664407,-0.002260925501299805
